X,palabras.word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,grupo_palabras
299,rayos,0,0,0,0,0,0,0,0,0,0,1
300,sol,0,1,0,0,2,0,1,1,0,2,1
301,humo,0,0,0,0,0,0,0,0,1,0,2
302,sacrificios,0,0,1,1,0,1,0,0,1,0,2
303,hálito,0,0,0,0,0,0,0,0,0,0,2
304,versos,0,0,0,0,0,0,0,0,0,0,2
305,rig,0,0,0,0,0,0,0,0,0,0,2
306,veda,0,0,0,0,0,0,0,0,0,0,2
307,destilados,0,0,0,0,0,0,0,0,0,0,2
308,enseñanzas,0,0,0,0,0,0,0,0,0,0,2
309,viejos,0,0,0,0,0,0,0,0,0,0,2
310,brahmanes,0,0,0,0,0,0,0,0,0,0,2
311,producíanle,0,0,0,0,0,0,0,0,0,0,2
312,extraños,0,0,0,0,0,0,0,0,0,1,2
313,sueños,0,0,0,0,0,0,0,0,0,0,2
314,agitaban,0,0,0,0,0,0,0,0,0,0,2
315,constantemente,0,0,0,0,0,0,0,1,0,0,2
316,alma,0,0,0,0,0,0,0,0,0,1,2
317,siddhartha,0,0,0,0,0,0,0,0,0,0,2
318,empezado,0,0,0,0,0,0,0,0,0,0,2
319,acumular,0,0,0,0,0,0,0,0,0,0,2
320,descontento,2,0,2,1,0,2,0,0,2,0,2
321,interior,0,0,1,0,0,0,0,1,0,1,2
322,comenzó,0,0,0,0,0,0,0,0,0,0,2
323,sentir,0,0,0,0,0,0,0,0,0,0,2
324,cariño,0,0,0,0,0,0,0,0,0,0,2
325,padre,0,0,0,0,0,0,0,1,0,0,2
326,amor,0,0,0,0,1,0,0,0,0,1,2
327,madre,0,1,0,0,1,1,0,1,1,1,2
328,aprecio,0,0,0,0,0,0,0,0,0,0,2
329,amigo,0,1,0,0,2,0,0,2,0,2,2
330,govinda,0,0,0,0,0,0,0,0,0,0,2
331,harían,0,0,0,0,0,0,0,0,0,0,2
332,feliz,0,1,0,0,1,0,0,1,0,1,2
333,toda,0,0,0,0,0,0,0,0,0,0,2
334,vida,0,0,0,0,0,0,0,0,0,0,2
335,calmarían,0,0,0,0,0,0,0,0,0,3,2
336,satisfarían,0,0,0,0,0,0,0,0,0,0,2
337,aspiraciones,0,0,0,0,0,0,0,0,0,0,2
338,empezó,0,0,0,0,0,0,0,0,0,0,2
339,intuir,0,0,0,0,0,0,0,0,0,0,2
340,venerable,0,1,0,0,1,0,0,1,0,1,2
341,padre,0,0,0,0,0,0,0,1,0,0,2
342,maestros,0,0,0,0,0,0,0,0,0,0,2
343,sabios,0,0,0,0,0,0,0,0,0,0,2
344,brahmanes,0,0,0,0,0,0,0,0,0,0,2
345,comunicado,0,0,0,0,0,0,0,0,0,0,2
346,mayor,0,0,0,0,0,0,0,0,0,2,2
347,excelsa,0,0,0,0,0,0,0,0,0,0,2
348,parte,0,0,0,0,0,0,0,0,0,0,2
349,sabiduría,0,0,0,0,0,0,0,0,0,0,2
350,trasvasado,0,0,0,0,0,0,0,0,0,0,2
351,mejor,0,0,0,0,0,0,0,0,0,0,2
352,mismos,0,0,0,0,0,0,0,0,0,0,2
353,alma,0,0,0,0,0,0,0,0,0,1,2
354,vaso,0,0,0,0,0,0,0,0,0,0,2
355,expectante,0,1,0,0,0,0,0,0,0,0,2
356,vaso,0,0,0,0,0,0,0,0,0,0,2
357,colmado,0,0,0,0,0,0,0,0,0,0,2
358,espíritu,0,0,0,0,0,0,0,0,0,0,2
359,satisfecho,0,0,0,0,2,0,0,0,0,2,2
360,alma,0,0,0,0,0,0,0,0,0,1,2
361,tranquila,0,0,0,0,0,0,0,0,0,0,2
362,corazón,0,0,0,0,0,0,0,0,0,0,2
363,sosegado,0,0,0,0,0,0,0,0,0,1,2
364,abluciones,0,0,0,0,0,0,0,0,0,0,2
365,buenas,0,0,0,0,0,0,0,0,0,0,2
366,sino,0,0,0,0,0,0,0,0,0,0,2
367,agua,0,0,0,0,0,0,0,0,0,0,2
368,lavaban,0,0,0,0,0,0,0,0,0,0,2
369,pecado,1,0,1,1,0,1,0,0,1,0,2
370,saciaban,0,0,0,0,0,0,0,0,0,0,2
371,sed,0,1,0,0,0,1,1,0,0,0,2
372,espíritu,0,0,0,0,0,0,0,0,0,0,2
373,suprimían,0,0,0,0,0,0,0,0,0,0,2
374,angustia,2,0,1,2,0,3,2,0,4,0,2
375,corazón,0,0,0,0,0,0,0,0,0,0,2
376,excelentes,0,0,0,0,0,0,0,0,0,0,2
377,asimismo,0,0,0,0,0,0,0,0,0,0,2
378,sacrificios,0,0,1,1,0,1,0,0,1,0,2
379,innovación,0,0,0,0,0,0,0,0,0,0,2
380,dioses,0,0,0,0,0,0,0,0,0,0,2
381,aportaban,0,0,0,0,0,0,0,0,0,0,2
382,felicidad,0,1,0,0,3,0,0,0,0,3,2
383,sacrificios,0,0,1,1,0,1,0,0,1,0,2
384,cabía,0,0,0,0,0,0,0,0,0,0,2
385,esperar,0,3,0,0,0,0,1,1,1,1,2
386,dioses,0,0,0,0,0,0,0,0,0,0,2
387,realmente,0,0,0,0,0,0,0,0,0,0,2
388,prajapati,0,0,0,0,0,0,0,0,0,0,2
389,creador,0,0,0,0,0,0,0,0,0,0,2
390,mundo,0,0,0,0,0,0,0,0,0,0,2
391,acaso,0,0,0,0,0,0,0,0,0,0,2
392,atmán,0,0,0,0,0,0,0,0,0,0,2
393,único,0,0,0,0,0,0,0,0,0,0,2
394,indivisible,0,0,0,0,0,0,0,1,0,0,2
395,dioses,0,0,0,0,0,0,0,0,0,0,2
396,criaturas,0,0,0,0,0,0,0,0,0,0,2
397,sometidas,0,0,0,0,0,0,0,0,0,0,2
398,tiempo,0,1,0,0,0,0,0,0,0,0,2
399,perecederas,0,0,0,0,0,0,0,0,0,0,2
400,acaso,0,0,0,0,0,0,0,0,0,0,2
401,acto,0,0,0,0,0,0,0,0,0,0,2
402,justo,0,0,0,0,0,0,0,0,0,1,2
403,noble,0,0,0,0,0,0,0,2,0,2,2
404,ofrecer,0,0,0,0,0,0,0,0,0,0,2
405,sacrificios,0,0,1,1,0,1,0,0,1,0,2
406,dioses,0,0,0,0,0,0,0,0,0,0,2
407,algún,0,0,0,0,0,0,0,0,0,0,2
408,sentido,0,0,0,0,0,0,0,0,0,1,2
409,quién,0,0,0,0,0,0,0,0,0,0,2
410,inmolar,0,0,0,0,0,0,0,0,0,0,2
411,víctimas,0,0,0,0,0,0,0,0,0,0,2
412,demostrar,0,0,0,0,0,0,0,0,0,1,2
413,veneración,0,0,0,0,0,0,0,0,0,0,2
414,si,0,0,0,0,0,0,0,0,0,0,2
415,único,0,0,0,0,0,0,0,0,0,0,2
416,atmán,0,0,0,0,0,0,0,0,0,0,2
417,dónde,0,0,0,0,0,0,0,0,0,0,2
418,encontrar,0,0,0,0,0,0,0,0,0,0,2
419,atmán,0,0,0,0,0,0,0,0,0,0,2
420,dónde,0,0,0,0,0,0,0,0,0,0,2
421,moraba,0,0,0,0,0,0,0,0,0,0,2
422,dónde,0,0,0,0,0,0,0,0,0,0,2
423,latía,0,0,0,0,0,0,0,0,0,0,2
424,eterno,0,0,0,0,0,0,0,0,0,1,2
425,corazón,0,0,0,0,0,0,0,0,0,0,2
426,dónde,0,0,0,0,0,0,0,0,0,0,2
427,sino,0,0,0,0,0,0,0,0,0,0,2
428,propio,0,0,0,0,0,0,0,0,0,0,2
